Component,Logical Increments Name,PassMark Name
CPU,G530,Intel Celeron G530 @ 2.40GHz
GPU,HD 6570,Radeon HD 6570
CPU,G630,Intel Pentium G630 @ 2.70GHz
GPU,HD 7750,Radeon HD 7750
CPU,955,AMD Phenom II X4 955
GPU,GTX 650 Ti,GeForce GTX 650 Ti
CPU,i3 3220,Intel Core i3-3220 @ 3.30GHz
GPU,HD 7850,Radeon HD 7850
CPU,FX-6300,AMD FX-6300 Six-Core
GPU,GTX 660,GeForce GTX 660
CPU,i5 3570K,Intel Core i5-3570K @ 3.40GHz
GPU,GTX 660 Ti,GeForce GTX 660 Ti
GPU,GTX 670,GeForce GTX 670
GPU,GTX 660 Ti x2,GeForce GTX 660 Ti
GPU,GTX 670 x2,GeForce GTX 670
CPU,G1610,Intel Celeron G1610 @ 2.60GHz
CPU,G2020,Intel Pentium G2020 @ 2.90GHz
CPU,965,AMD Phenom II X4 965
GPU,650 Ti Boost 1GB,GeForce GTX 650 Ti BOOST
GPU,650 Ti Boost 2GB,GeForce GTX 650 Ti BOOST
CPU,FX 6300,AMD FX-6300 Six-Core
CPU,i5 4670,Intel Core i5-4670 @ 3.40GHz
CPU,i5 4670K,Intel Core i5-4670K @ 3.40GHz
GPU,GTX 770,GeForce GTX 770
GPU,GTX 770 x2,GeForce GTX 770
CPU,i3 2120,Intel Core i3-2120 @ 3.30GHz
CPU,G1620,Intel Celeron G1620 @ 2.70GHz
GPU,R7 250,Radeon R7 250
CPU,X4 760K,AMD Athlon X4 760K Quad Core
GPU,HD 7850 1GB,Radeon HD 7850
CPU,i3 4330,Intel Core i3-4330 @ 3.50GHz
GPU,GTX 760,GeForce GTX 760
GPU,GTX 760 x2,GeForce GTX 760
GPU,GTX 780 x2,GeForce GTX 780
CPU,G3220,Intel Pentium G3220 @ 3.00GHz
GPU,R7 240,Radeon R7 240
GPU,R7 250X,Radeon R7 250X
GPU,GTX 750 Ti,GeForce GTX 750 Ti
GPU,R7 265,Radeon RX 460
GPU,R9 270,Radeon R9 270
CPU,i3 4150,Intel Core i3-4150 @ 3.50GHz
GPU,R9 280,Radeon R9 280
CPU,i5 4430,Intel Core i5-4430 @ 3.00GHz
GPU,R9 290,Radeon R9 290
CPU,i5 4690K,Intel Core i5-4690K @ 3.50GHz
GPU,R9 290 x2,Radeon R9 290
GPU,R9 290X x2,Radeon R9 290X
CPU,i7 5820K,Intel Core i7-5820K @ 3.30GHz
CPU,i3 4160,Intel Core i3-4160 @ 3.60GHz
GPU,GTX 980,GeForce GTX 980
GPU,GTX 970 x2,GeForce GTX 970
CPU,X4 860K,AMD Athlon X4 860K
GPU,R7 260X,Radeon R7 260X
GPU,GTX 980 x2,GeForce GTX 980
CPU,G1840,Intel Celeron G1840 @ 2.80GHz
GPU,GTX 950,GeForce GTX 950
CPU,i3 4170,Intel Core i3-4170 @ 3.70GHz
GPU,GTX 960,GeForce GTX 960
CPU,i5 6600K,Intel Core i5-6600K @ 3.50GHz
GPU,R9 390 x2,Radeon R9 390
GPU,R7 370,Radeon R7 370
CPU,FX 6350,AMD FX-6350 Six-Core
CPU,i5 6400,Intel Core i5-6400 @ 2.70GHz
GPU,R9 390,Radeon R9 390
GPU,GTX 980 Ti,GeForce GTX 980 Ti
CPU,G3900,Intel Celeron G3900 @ 2.80GHz
CPU,G4560,Intel Pentium G4560 @ 3.50GHz
CPU,G4600,Intel Pentium G4600 @ 3.60GHz
GPU,GTX 1050,GeForce GTX 1050
CPU,i3 7100,Intel Core i3-7100 @ 3.90GHz
GPU,GTX 1050 Ti,GeForce GTX 1050 Ti
GPU,RX 470,Radeon RX 470/570
GPU,RX 480,Radeon RX 480
CPU,i5 7400,Intel Core i5-7400 @ 3.00GHz
GPU,GTX 1070,GeForce GTX 1070
CPU,i7 7700K,Intel Core i7-7700K @ 4.20GHz
GPU,GTX 1080,GeForce GTX 1080
CPU,R7 1700,AMD Ryzen 7 1700
GPU,GTX 1080 Ti,GeForce GTX 1080 Ti
CPU,i7 6900K,Intel Core i7-6900K @ 3.20GHz
GPU,GTX 1080 x2,GeForce GTX 1080
CPU,R5 2400G,AMD Ryzen 5 2400G
GPU,Vega 11,Radeon Vega 11
CPU,R5 1600,AMD Ryzen 5 1600
GPU,RX 560,Radeon RX 560
GPU,RX 570,Radeon RX 470/570
CPU,R5 2600,AMD Ryzen 5 2600
CPU,R5 2600X,AMD Ryzen 5 2600X
GPU,GTX 1660,GeForce GTX 1660
CPU,i5 9600K,Intel Core i5-9600K @ 3.70GHz
GPU,GTX 1660 Ti,GeForce GTX 1660 Ti
CPU,i7 8700,Intel Core i7-8700 @ 3.20GHz
GPU,RTX 2060,GeForce RTX 2060
CPU,i7 8700K,Intel Core i7-8700K @ 3.70GHz
GPU,RTX 2080,GeForce RTX 2080
CPU,i9 9900K,Intel Core i9-9900K @ 3.60GHz
GPU,RTX 2080 Ti,GeForce RTX 2080 Ti
CPU,TR 2920X,AMD Ryzen Threadripper 2920X
GPU,RTX 2080 x2,GeForce RTX 2080
GPU,RX 580,Radeon RX 580
CPU,R7 2700,AMD Ryzen 7 2700
CPU,R7 2700X,AMD Ryzen 7 2700X
CPU,R7 3700X,AMD Ryzen 7 3700X
GPU,RTX 2060S,GeForce RTX 2060 SUPER
GPU,RTX 2080S,GeForce RTX 2080 SUPER
CPU,R9 3900X,AMD Ryzen 9 3900X
CPU,TR 2950X,AMD Ryzen Threadripper 2950X
GPU,RTX 2080S x2,GeForce RTX 2080 SUPER
GPU,GTX 1650S,GeForce GTX 1650 SUPER
GPU,GTX 1660S,GeForce GTX 1660 SUPER
CPU,R5 3600,AMD Ryzen 5 3600
CPU,R9 3950X,AMD Ryzen 9 3950X
CPU,R5 3400G,AMD Ryzen 5 3400G
CPU,R5 1600AF,AMD Ryzen 5 2600
GPU,RX 5600XT,Radeon RX 5600 XT
GPU,RX 5700XT,Radeon RX 5700 XT
CPU,R3 3100,AMD Ryzen 3 3100
CPU,R3 3300X,AMD Ryzen 3 3300X
CPU,R5 3600X,AMD Ryzen 5 3600X
CPU,i5 10600K,Intel Core i5-10600K @ 4.10GHz
CPU,i7 10700K,Intel Core i7-10700K @ 3.80GHz
GPU,RTX 3080,GeForce RTX 3080
GPU,RTX 3090,GeForce RTX 3090
CPU,R5 5600X,AMD Ryzen 5 5600X
GPU,RTX 3060 Ti,GeForce RTX 3060 Ti
CPU,R7 5800X,AMD Ryzen 7 5800X
CPU,R9 5900X,AMD Ryzen 9 5900X
CPU,R9 5950X,AMD Ryzen 9 5950X
GPU,RX 6900XT,Radeon RX 6900 XT
CPU,i5 11400,Intel Core i5-11400 @ 2.60GHz
CPU,i5 11600K,Intel Core i5-11600K @ 3.90GHz
GPU,RX 550,Radeon RX 550
CPU,i5 11400F,Intel Core i5-11400F @ 2.60GHz
GPU,RX 590,Radeon RX 590
GPU,RX 6600XT,Radeon RX 6600 XT
GPU,RX 6700XT,Radeon RX 6700 XT
GPU,RTX 3070 Ti,GeForce RTX 3070 Ti
GPU,RX 6800XT,Radeon RX 6800 XT
CPU,i7 12700K,Intel Core i7-12700K
CPU,i9 12900K,Intel Core i9-12900K
CPU,R5 5600G,AMD Ryzen 5 5600G
GPU,Vega 7,Ryzen 5 5600G with Radeon Graphics
CPU,i3 12100F,Intel Core i3-12100F
CPU,i5 12400F,Intel Core i5-12400F
CPU,i5 12600K,Intel Core i5-12600K
GPU,RX 6600,Radeon RX 6600
GPU,RX 6650XT,Radeon RX 6650 XT
GPU,RX 6750XT,Radeon RX 6750 XT
CPU,R7 7700X,AMD Ryzen 7 7700X
GPU,RX 6800,Radeon RX 6800
CPU,R9 7900X,AMD Ryzen 9 7900X
GPU,RX 6500XT,Radeon RX 6500 XT
CPU,i5 13600K,Intel Core i5-13600K
GPU,RX 7900 XT,Radeon RX 7900 XT
CPU,i9 13900K,Intel Core i9-13900K
GPU,RX 7900 XTX,Radeon RX 7900 XTX
CPU,i5 13400F,Intel Core i5-13400F
CPU,R5 7600,AMD Ryzen 5 7600
CPU,R5 7600X,AMD Ryzen 5 7600X
CPU,i7 13700KF,Intel Core i7-13700KF
CPU,i9 13900KF,Intel Core i9-13900KF
GPU,RTX 4070 Ti,GeForce RTX 4070 Ti
CPU,R9 7950X3D,AMD Ryzen 9 7950X3D
GPU,RX 6950XT,Radeon RX 6950 XT
GPU,RX 7800XT,Radeon RX 7800 XT
CPU,i7 13700K,Intel Core i7-13700K
GPU,Arc A580,Intel Arc A580
CPU,i9 14900K,Intel Core i9-14900K
GPU,RTX 4070S,GeForce RTX 4070 SUPER
